Season,Horario,Sitio,B_µg/m3,T_µg/m3,E_µg/m3,X_ µg/m3,B_mg/m3,T_mg/m3,E_mg/m3,X_mg/m3,E_adult_mg/kg,E_niños_mg/kg,LTCR_Adult,LTCR_Niños,HQ_B,HQ_T,HQ_E,HQ_X,Temp_c,Presión_HPA,Vel_Km/h,Dir_degree,Humedad_%
Rainy,B3,IMP,3.65612878,3.464465063,3.624728037,3.652877579,0.003656129,0.003464465,0.003624728,0.003652878,0.001120463,0.002120555,3.34E-05,6.32E-05,0.121870959,0.000692893,0.003624728,0.036528776,29,1009,14,315,80
Rainy,B1,IMP,4.092273309,3.442855791,3.555650773,3.502611624,0.004092273,0.003442856,0.003555651,0.003502612,0.001254124,0.002373519,3.74E-05,7.07E-05,0.13640911,0.000688571,0.003555651,0.035026116,26.33333333,1011.666667,8,180,90.33333333
Rainy,B2,IMP,4.529428805,4.570409307,3.742501189,3.998175434,0.004529429,0.004570409,0.003742501,0.003998175,0.001388096,0.002627069,4.14E-05,7.83E-05,0.15098096,0.000914082,0.003742501,0.039981754,26.33333333,1012,9.3,360,85.46666667
Rainy,B3,IMP,4.24976998,3.765200564,3.66745158,3.769349338,0.00424977,0.003765201,0.003667452,0.003769349,0.001302391,0.002464867,3.88E-05,7.35E-05,0.141658999,0.00075304,0.003667452,0.037693493,30,1013,9.3,360,66.2
Rainy,B1,IMP,5.223807057,4.715672112,3.659889809,3.82474433,0.005223807,0.004715672,0.00365989,0.003824744,0.001600896,0.003029808,4.77E-05,9.03E-05,0.174126902,0.000943134,0.00365989,0.038247443,26.33333333,1011.333333,6,180,88.33333333
Rainy,B2,IMP,4.505460487,4.321283721,3.671610875,3.801689432,0.00450546,0.004321284,0.003671611,0.003801689,0.00138075,0.002613167,4.11E-05,7.79E-05,0.150182016,0.000864257,0.003671611,0.038016894,28,1010.666667,6,14.64,78.33333333
Rainy,B3,IMP,4.390762515,4.001652287,3.703902844,3.767341128,0.004390763,0.004001652,0.003703903,0.003767341,0.0013456,0.002546642,4.01E-05,7.59E-05,0.146358751,0.00080033,0.003703903,0.037673411,28.66666667,1008.333333,13,360,78.33333333
Rainy,B1,CUA,3.293707655,3.150363797,3.610734525,3.589079291,0.003293708,0.003150364,0.003610735,0.003589079,0.001009395,0.00191035,3.01E-05,5.69E-05,0.109790255,0.000630073,0.003610735,0.035890793,28.83333333,1009.666667,15,90,83.33333333
Rainy,B2,CUA,3.292982913,2.949496523,3.582905136,3.485526812,0.003292983,0.002949497,0.003582905,0.003485527,0.001009173,0.00190993,3.01E-05,5.69E-05,0.109766097,0.000589899,0.003582905,0.034855268,29,1009.666667,4.5,64.86,82.33333333
Rainy,B3,CUA,3.46824316,3.356124816,3.598141592,3.530888071,0.003468243,0.003356125,0.003598142,0.003530888,0.001062883,0.002011581,3.17E-05,5.99E-05,0.115608105,0.000671225,0.003598142,0.035308881,30.66666667,1010,19,22.5,72
